neuron_index,assigned_concepts
1978,coppermine
1979,disclose
1980,pinball
1981,dewalt
1982,menu
1983,sugababes
1984,dickinson
1985,leicestershire
1986,buck
1987,transistor
1988,garrison
1989,coincidence
1990,eritrea
1991,filme
1992,venom
1993,platforms
1994,sporting
1995,bild
1996,charges
1997,supernatural
1998,djibouti
1999,hopper
2000,garrison
2001,entities
2002,rammstein
2003,weezer
2004,judaism
2005,geology
2006,flea
2007,tackling
2008,comptroller
2009,exhibition
2010,mahogany
2011,marianne
2012,faced
2013,pocketpc
2014,accelerator
2015,shinedown
2016,offset
2017,patio
2018,utilities
2019,paige
2020,corinthians
2021,nails
2022,mandy
2023,leigh
2024,amplitude
2025,compactflash
2026,rem
2027,mcafee
2028,rem
2029,liechtenstein
2030,murakami
2031,officer
2032,yellowstone
2033,municipalities
2034,sherman
2035,grenadines
2036,seether
2037,tuvalu
2038,fence
2039,bathroom
2040,audioslave
2041,zelda
2042,everquest
2043,thriller
2044,municipalities
2045,tomtom
2046,judaism
2047,social
2048,steelers
2049,allah
2050,secretariat
2051,judaism
2052,tcl
2053,quartet
2054,eo
2055,hopper
2056,forte
2057,aaliyah
2058,msgstr
2059,interruption
2060,puppies
2061,salvador
2062,alienware
2063,incomplete
2064,hitchcock
2065,permitted
2066,kiribati
2067,asians
2068,diode
2069,bottle
2070,tamiflu
2071,dune
2072,penguins
2073,isolates
2074,bundled
2075,cpus
2076,anthrax
2077,denim
2078,makefile
2079,inuyasha
2080,tolkien
2081,turquoise
2082,augustus
2083,camel
2084,moroccan
2085,dewalt
2086,goals
2087,rem
2088,moines
2089,kittens
2090,lima
2091,pda
2092,judaism
2093,dewalt
2094,generated
2095,flea
2096,akron
2097,magnesium
2098,social
2099,headlights
2100,coldplay
2101,garfield
2102,pharmacist
2103,mccartney
2104,rem
